,labelled_TaxationUK_Viktor,labelled_TaxationUK_Kanushree,labelled_TaxationUK_Adam,labelled_TaxationUK_Raphael,labelled_TaxationUK_Zijing
labelled_TaxationUK_Viktor,0.0,0.38462832984141987,0.2258548481731127,0.25188879515406315,0.21373145582659817
labelled_TaxationUK_Kanushree,0.38462832984141987,0.0,0.35270436812829464,0.2926819466026448,0.13589497767922787
labelled_TaxationUK_Adam,0.2258548481731127,0.35270436812829464,0.0,0.2789722944176496,0.21364377861427955
labelled_TaxationUK_Raphael,0.25188879515406315,0.2926819466026448,0.2789722944176496,0.0,0.08883076395332573
labelled_TaxationUK_Zijing,0.21373145582659817,0.13589497767922787,0.21364377861427955,0.08883076395332573,0.0
