,labelled_ClimateChangeUK_Raphael,labelled_ClimateChangeUK_Viktor,labelled_ClimateChangeUK_Zijing,labelled_ClimateChangeUK_Kanushree,labelled_ClimateChangeUK_Adam
labelled_ClimateChangeUK_Raphael,0.0,0.5512511128053441,0.3663301450291412,0.07790897824802989,0.504154047565539
labelled_ClimateChangeUK_Viktor,0.5512511128053441,0.0,0.3793462593261985,0.02262696208994624,0.3322758770127262
labelled_ClimateChangeUK_Zijing,0.3663301450291412,0.3793462593261985,0.0,0.0899101658731986,0.371473617658122
labelled_ClimateChangeUK_Kanushree,0.07790897824802989,0.02262696208994624,0.0899101658731986,0.0,0.2732642246146876
labelled_ClimateChangeUK_Adam,0.504154047565539,0.3322758770127262,0.371473617658122,0.2732642246146876,0.0
