,labelled_Brexit_Viktor,labelled_Brexit_Adam,labelled_Brexit_Raphael,labelled_Brexit_Kanushree,labelled_Brexit_Zijing
labelled_Brexit_Viktor,0.0,0.10870219545429609,0.2335171976738775,0.062465240277144875,0.034894818017757234
labelled_Brexit_Adam,0.10870219545429609,0.0,0.2452743427022605,0.18640643933607323,0.15490031421182882
labelled_Brexit_Raphael,0.2335171976738775,0.2452743427022605,0.0,0.10852736553819572,0.19784391194614673
labelled_Brexit_Kanushree,0.062465240277144875,0.18640643933607323,0.10852736553819572,0.0,0.161493079293586
labelled_Brexit_Zijing,0.034894818017757234,0.15490031421182882,0.19784391194614673,0.161493079293586,0.0
