,labelled_ImmigrationUS_Raphael,labelled_ImmigrationUS_Viktor,labelled_ImmigrationUS_Kanushree,labelled_ImmigrationUS_Zijing,labelled_ImmigrationUS_Adam
labelled_ImmigrationUS_Raphael,0.0,0.2814121313418811,0.1854940501107787,0.18569371802275925,0.17336443938253626
labelled_ImmigrationUS_Viktor,0.2814121313418811,0.0,0.2512323266553734,0.19663702643851777,0.2657818273592659
labelled_ImmigrationUS_Kanushree,0.1854940501107787,0.2512323266553734,0.0,0.5866543651228623,0.706026185133155
labelled_ImmigrationUS_Zijing,0.18569371802275925,0.19663702643851777,0.5866543651228623,0.0,0.6085968876452457
labelled_ImmigrationUS_Adam,0.17336443938253626,0.2657818273592659,0.706026185133155,0.6085968876452457,0.0
