,labelled_IsraelPalestine_Kanushree,labelled_IsraelPalestine_Raphael,labelled_IsraelPalestine_Zijing,labelled_IsraelPalestine_Viktor,labelled_IsraelPalestine_Adam
labelled_IsraelPalestine_Kanushree,0.0,0.024563119657791465,0.2370959253923201,0.39757353219336466,0.31196779161258187
labelled_IsraelPalestine_Raphael,0.024563119657791465,0.0,0.11586016757159423,0.2668163334665655,0.1473205976122999
labelled_IsraelPalestine_Zijing,0.2370959253923201,0.11586016757159423,0.0,0.32886176000321793,0.49192390540179326
labelled_IsraelPalestine_Viktor,0.39757353219336466,0.2668163334665655,0.32886176000321793,0.0,0.5332167358141431
labelled_IsraelPalestine_Adam,0.31196779161258187,0.1473205976122999,0.49192390540179326,0.5332167358141431,0.0
