,labelled_HealthcareUK_Viktor,labelled_HealthcareUK_Adam,labelled_HealthcareUK_Kanushree,labelled_HealthcareUK_Raphael,labelled_HealthcareUK_Zijing
labelled_HealthcareUK_Viktor,0.0,0.2822735353300206,0.2553929867891813,0.22913929564272253,0.1605901350230019
labelled_HealthcareUK_Adam,0.2822735353300206,0.0,0.36742605550682395,0.3107899795962597,0.3330751166170464
labelled_HealthcareUK_Kanushree,0.2553929867891813,0.36742605550682395,0.0,0.20525311414420086,0.29066985791088923
labelled_HealthcareUK_Raphael,0.22913929564272253,0.3107899795962597,0.20525311414420086,0.0,0.12127194006579232
labelled_HealthcareUK_Zijing,0.1605901350230019,0.3330751166170464,0.29066985791088923,0.12127194006579232,0.0
